,WeekPeriod,StartOfWeek,EndOfWeek,List_of_Sites_SHS_Portfolio,Facility_Type,PA,Facility_CD,Report_Status,Late_Submission_FLG
528,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,D,Fruit Pie,Staff 1,FPD,Y,N
852,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,E,Fruit Pie,Staff 3,FPE,Y,Y
403,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,F,Fruit Pie,Staff 3,FPF,N,N
2944,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,G,Candy Canes,Staff 2,CnG,Y,N
1248,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,H,Candy Canes,Staff 2,CnH,N,N
404,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,I,Candy Canes,Staff 2,CnI,Y,N
853,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,J,Fruit Pie,Staff 3,FPJ,Y,N
781,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,K,Fruit Pie,Staff 3,FPK,Y,Y
2945,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,L,Fruit Pie,Staff 1,FPL,Y,N
2946,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,M,Candy Canes,Staff 2,CnM,Y,N
854,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,N,Fruit Pie,Staff 4,FPN,Y,N
678,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,O,Fruit Pie,Staff 3,FPO,N,N
782,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,P,Fruit Pie,Staff 4,FPP,Y,N
2947,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,Q,Fruit Pie,Staff 4,FPQ,N,N
1249,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,R,Fruit Pie,Staff 3,FPR,Y,N
1250,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,S,Fruit Pie,Staff 1,FPS,Y,N
471,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,T,Fruit Pie,Staff 1,FPT,Y,N
783,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,U,Fruit Pie,Staff 1,FPU,N,N
629,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,V,Cookie Dough,Staff 5,CuV,Y,N
1251,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,W,Fruit Pie,Staff 1,FPW,Y,N
630,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,X,Cookie Dough,Staff 5,CuX,Y,N
679,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,Y,Gummy Bears,Staff 6,GaY,Y,N
631,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,Z,Cookie Dough,Staff 4,CuZ,Y,Y
632,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AA,Cookie Dough,Staff 6,CuAA,Y,N
1252,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AB,Gummy Bears,Staff 3,GaAB,N,N
855,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AC,Fruit Pie,Staff 4,FPAC,N,N
529,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AD,Fruit Pie,Staff 3,FPAD,Y,N
680,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AE,Candy Canes,Staff 2,CnAE,Y,N
2948,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AF,Fruit Pie,Staff 4,FPAF,N,N
2949,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AG,Gummy Bears,Staff 6,GaAG,Y,N
784,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AH,Cookie Dough,Staff 5,CuAH,N,N
472,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AI,Cookie Dough,Staff 5,CuAI,Y,N
1253,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AJ,Gummy Bears,Staff 6,GaAJ,Y,N
785,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AK,Fruit Pie,Staff 6,FPAK,Y,N
681,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AL,Gummy Bears,Staff 6,GaAL,N,N
2950,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AM,Candy Canes,Staff 2,CnAM,Y,N
1254,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AN,Cookie Dough,Staff 5,CuAN,Y,N
633,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AO,Fruit Pie,Staff 1,FPAO,Y,N
2951,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AP,Gummy Bears,Staff 6,GaAP,N,N
786,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AQ,Cookie Dough,Staff 1,CuAQ,N,N
2952,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AR,Fruit Pie,Staff 3,FPAR,Y,N
787,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AS,Fruit Pie,Staff 3,FPAS,N,N
634,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AT,Gummy Bears,Staff 6,GaAT,Y,N
530,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AU,Cookie Dough,Staff 5,CuAU,N,N
682,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AV,Cookie Dough,Staff 5,CuAV,Y,N
788,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AW,Fruit Pie,Staff 1,FPAW,N,N
856,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AX,Gummy Bears,Staff 6,GaAX,Y,N
789,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AY,Fruit Pie,Staff 6,FPAY,Y,N
790,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AZ,Cookie Dough,Staff 5,CuAZ,Y,N
635,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AAA,Cookie Dough,Staff 5,CuAAA,N,N
636,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AAB,Fruit Pie,Staff 4,FPAAB,Y,N
683,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AAC,Fruit Pie,Staff 4,FPAAC,Y,Y
857,2025-04-26 - 2025-05-02,4/26/2025,5/2/2025,AAD,Fruit Pie,Staff 1,FPAAD,Y,N
473,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,A,Fruit Pie,Staff 1,FPA,N,N
474,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,B,Fruit Pie,Staff 1,FPB,Y,N
475,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,C,Gummy Bears,Staff 6,GaC,Y,N
684,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,D,Fruit Pie,Staff 1,FPD,Y,N
637,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,E,Fruit Pie,Staff 3,FPE,Y,N
531,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,F,Fruit Pie,Staff 3,FPF,Y,N
742,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,G,Candy Canes,Staff 2,CnG,Y,N
791,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,H,Candy Canes,Staff 2,CnH,Y,N
532,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,I,Candy Canes,Staff 2,CnI,Y,N
533,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,J,Fruit Pie,Staff 3,FPJ,Y,N
2953,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,K,Fruit Pie,Staff 3,FPK,N,N
638,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,L,Fruit Pie,Staff 1,FPL,Y,N
639,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,M,Candy Canes,Staff 2,CnM,Y,Y
2954,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,N,Fruit Pie,Staff 4,FPN,Y,N
534,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,O,Fruit Pie,Staff 3,FPO,Y,N
2955,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,P,Fruit Pie,Staff 4,FPP,N,N
1255,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,Q,Fruit Pie,Staff 4,FPQ,Y,N
2956,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,R,Fruit Pie,Staff 3,FPR,Y,N
743,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,S,Fruit Pie,Staff 1,FPS,N,N
896,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,T,Fruit Pie,Staff 1,FPT,Y,N
685,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,U,Fruit Pie,Staff 1,FPU,N,N
535,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,V,Cookie Dough,Staff 5,CuV,Y,N
686,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,W,Fruit Pie,Staff 1,FPW,Y,N
2957,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,X,Cookie Dough,Staff 5,CuX,Y,N
792,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,Y,Gummy Bears,Staff 6,GaY,Y,N
2958,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,Z,Cookie Dough,Staff 4,CuZ,Y,N
2959,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AA,Cookie Dough,Staff 6,CuAA,Y,N
2960,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AB,Gummy Bears,Staff 3,GaAB,N,N
640,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AC,Fruit Pie,Staff 4,FPAC,N,N
793,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AD,Fruit Pie,Staff 3,FPAD,Y,N
897,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AE,Candy Canes,Staff 2,CnAE,Y,N
641,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AF,Fruit Pie,Staff 4,FPAF,N,N
744,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AG,Gummy Bears,Staff 6,GaAG,Y,N
687,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AH,Cookie Dough,Staff 5,CuAH,Y,N
2961,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AI,Cookie Dough,Staff 5,CuAI,Y,N
688,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AJ,Gummy Bears,Staff 6,GaAJ,Y,N
536,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AK,Fruit Pie,Staff 6,FPAK,Y,N
537,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AL,Gummy Bears,Staff 6,GaAL,N,N
794,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AM,Candy Canes,Staff 2,CnAM,Y,N
2962,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AN,Cookie Dough,Staff 5,CuAN,Y,Y
745,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AO,Fruit Pie,Staff 1,FPAO,N,N
795,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AP,Gummy Bears,Staff 6,GaAP,N,N
538,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AQ,Cookie Dough,Staff 1,CuAQ,N,N
642,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AR,Fruit Pie,Staff 3,FPAR,Y,N
1256,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AS,Fruit Pie,Staff 3,FPAS,N,N
746,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AT,Gummy Bears,Staff 6,GaAT,Y,N
796,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AU,Cookie Dough,Staff 5,CuAU,N,N
898,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AV,Cookie Dough,Staff 5,CuAV,Y,N
539,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AW,Fruit Pie,Staff 1,FPAW,N,N
747,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AX,Gummy Bears,Staff 6,GaAX,Y,N
689,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AY,Fruit Pie,Staff 6,FPAY,Y,Y
748,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AZ,Cookie Dough,Staff 5,CuAZ,Y,N
899,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AAA,Cookie Dough,Staff 5,CuAAA,N,N
540,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AAB,Fruit Pie,Staff 4,FPAAB,Y,N
900,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AAC,Fruit Pie,Staff 4,FPAAC,Y,N
749,2025-05-03 - 2025-05-09,5/3/2025,5/9/2025,AAD,Fruit Pie,Staff 1,FPAAD,Y,N
750,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,A,Fruit Pie,Staff 1,FPA,N,N
643,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,B,Fruit Pie,Staff 1,FPB,Y,N
797,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,C,Gummy Bears,Staff 6,GaC,Y,N
901,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,D,Fruit Pie,Staff 1,FPD,Y,N
2963,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,E,Fruit Pie,Staff 3,FPE,Y,N
690,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,F,Fruit Pie,Staff 3,FPF,N,N
751,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,G,Candy Canes,Staff 2,CnG,Y,N
1257,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,H,Candy Canes,Staff 2,CnH,Y,Y
902,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,I,Candy Canes,Staff 2,CnI,Y,N
1258,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,J,Fruit Pie,Staff 3,FPJ,Y,N
644,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,K,Fruit Pie,Staff 3,FPK,Y,N
691,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,L,Fruit Pie,Staff 1,FPL,N,N
2964,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,M,Candy Canes,Staff 2,CnM,Y,N
903,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,N,Fruit Pie,Staff 4,FPN,Y,N
1259,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,O,Fruit Pie,Staff 3,FPO,N,N
798,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,P,Fruit Pie,Staff 4,FPP,Y,N
2965,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,Q,Fruit Pie,Staff 4,FPQ,N,N
692,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,R,Fruit Pie,Staff 3,FPR,Y,N
1260,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,S,Fruit Pie,Staff 1,FPS,Y,N
752,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,T,Fruit Pie,Staff 1,FPT,Y,N
541,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,U,Fruit Pie,Staff 1,FPU,N,N
645,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,V,Cookie Dough,Staff 5,CuV,N,N
693,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,W,Fruit Pie,Staff 1,FPW,Y,N
646,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,X,Cookie Dough,Staff 5,CuX,Y,N
1261,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,Y,Gummy Bears,Staff 6,GaY,N,N
647,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,Z,Cookie Dough,Staff 4,CuZ,N,N
648,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AA,Cookie Dough,Staff 6,CuAA,Y,N
1262,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AB,Gummy Bears,Staff 3,GaAB,Y,N
904,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AC,Fruit Pie,Staff 4,FPAC,N,N
694,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AD,Fruit Pie,Staff 3,FPAD,Y,N
649,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AE,Candy Canes,Staff 2,CnAE,Y,N
2966,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AF,Fruit Pie,Staff 4,FPAF,N,N
2967,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AG,Gummy Bears,Staff 6,GaAG,Y,N
542,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AH,Cookie Dough,Staff 5,CuAH,N,N
1263,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AI,Cookie Dough,Staff 5,CuAI,Y,N
1264,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AJ,Gummy Bears,Staff 6,GaAJ,N,N
543,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AK,Fruit Pie,Staff 6,FPAK,N,N
544,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AL,Gummy Bears,Staff 6,GaAL,N,N
2968,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AM,Candy Canes,Staff 2,CnAM,Y,N
1265,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AN,Cookie Dough,Staff 5,CuAN,N,N
753,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AO,Fruit Pie,Staff 1,FPAO,N,N
754,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AP,Gummy Bears,Staff 6,GaAP,N,N
799,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AQ,Cookie Dough,Staff 1,CuAQ,N,N
800,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AR,Fruit Pie,Staff 3,FPAR,Y,N
801,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AS,Fruit Pie,Staff 3,FPAS,N,N
650,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AT,Gummy Bears,Staff 6,GaAT,Y,N
545,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AU,Cookie Dough,Staff 5,CuAU,N,N
802,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AV,Cookie Dough,Staff 5,CuAV,Y,N
803,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AW,Fruit Pie,Staff 1,FPAW,N,N
905,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AX,Gummy Bears,Staff 6,GaAX,Y,N
804,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AY,Fruit Pie,Staff 6,FPAY,N,N
651,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AZ,Cookie Dough,Staff 5,CuAZ,Y,N
652,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AAA,Cookie Dough,Staff 5,CuAAA,N,N
653,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AAB,Fruit Pie,Staff 4,FPAAB,Y,N
546,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AAC,Fruit Pie,Staff 4,FPAAC,Y,N
1266,2025-05-10 - 2025-05-16,5/10/2025,5/16/2025,AAD,Fruit Pie,Staff 1,FPAAD,Y,N
1267,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,A,Fruit Pie,Staff 1,FPA,N,N
547,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,B,Fruit Pie,Staff 1,FPB,Y,N
695,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,C,Gummy Bears,Staff 6,GaC,Y,N
755,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,D,Fruit Pie,Staff 1,FPD,Y,N
1268,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,E,Fruit Pie,Staff 3,FPE,N,N
2969,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,F,Fruit Pie,Staff 3,FPF,Y,N
696,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,G,Candy Canes,Staff 2,CnG,Y,N
906,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,H,Candy Canes,Staff 2,CnH,Y,Y
2970,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,I,Candy Canes,Staff 2,CnI,Y,N
2971,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,J,Fruit Pie,Staff 3,FPJ,Y,N
548,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,K,Fruit Pie,Staff 3,FPK,Y,N
1269,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,L,Fruit Pie,Staff 1,FPL,N,N
1270,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,M,Candy Canes,Staff 2,CnM,Y,N
549,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,N,Fruit Pie,Staff 4,FPN,Y,N
2972,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,O,Fruit Pie,Staff 3,FPO,Y,N
756,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,P,Fruit Pie,Staff 4,FPP,N,N
654,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,Q,Fruit Pie,Staff 4,FPQ,Y,N
907,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,R,Fruit Pie,Staff 3,FPR,Y,N
697,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,S,Fruit Pie,Staff 1,FPS,N,N
805,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,T,Fruit Pie,Staff 1,FPT,Y,N
757,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,U,Fruit Pie,Staff 1,FPU,N,N
2973,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,V,Cookie Dough,Staff 5,CuV,Y,N
2974,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,W,Fruit Pie,Staff 1,FPW,Y,N
550,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,X,Cookie Dough,Staff 5,CuX,Y,N
908,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,Y,Gummy Bears,Staff 6,GaY,N,N
551,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,Z,Cookie Dough,Staff 4,CuZ,Y,Y
552,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AA,Cookie Dough,Staff 6,CuAA,Y,N
553,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AB,Gummy Bears,Staff 3,GaAB,Y,N
1271,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AC,Fruit Pie,Staff 4,FPAC,Y,N
909,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AD,Fruit Pie,Staff 3,FPAD,Y,N
806,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AE,Candy Canes,Staff 2,CnAE,Y,N
1272,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AF,Fruit Pie,Staff 4,FPAF,N,N
698,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AG,Gummy Bears,Staff 6,GaAG,Y,N
758,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AH,Cookie Dough,Staff 5,CuAH,Y,N
554,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AI,Cookie Dough,Staff 5,CuAI,Y,N
759,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AJ,Gummy Bears,Staff 6,GaAJ,Y,N
760,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AK,Fruit Pie,Staff 6,FPAK,Y,Y
910,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AL,Gummy Bears,Staff 6,GaAL,N,N
911,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AM,Candy Canes,Staff 2,CnAM,Y,N
555,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AN,Cookie Dough,Staff 5,CuAN,Y,Y
699,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AO,Fruit Pie,Staff 1,FPAO,N,N
912,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AP,Gummy Bears,Staff 6,GaAP,Y,Y
2975,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AQ,Cookie Dough,Staff 1,CuAQ,N,N
700,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AR,Fruit Pie,Staff 3,FPAR,Y,N
655,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AS,Fruit Pie,Staff 3,FPAS,N,N
701,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AT,Gummy Bears,Staff 6,GaAT,N,N
913,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AU,Cookie Dough,Staff 5,CuAU,N,N
656,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AV,Cookie Dough,Staff 5,CuAV,N,N
2976,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AW,Fruit Pie,Staff 1,FPAW,N,N
702,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AX,Gummy Bears,Staff 6,GaAX,Y,N
761,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AY,Fruit Pie,Staff 6,FPAY,Y,N
935,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AZ,Cookie Dough,Staff 5,CuAZ,Y,N
807,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AAA,Cookie Dough,Staff 5,CuAAA,Y,N
2977,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AAB,Fruit Pie,Staff 4,FPAAB,Y,N
808,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AAC,Fruit Pie,Staff 4,FPAAC,Y,N
703,2025-05-17 - 2025-05-23,5/17/2025,5/23/2025,AAD,Fruit Pie,Staff 1,FPAAD,Y,N
1273,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,A,Fruit Pie,Staff 1,FPA,N,N
936,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,B,Fruit Pie,Staff 1,FPB,Y,N
914,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,C,Gummy Bears,Staff 6,GaC,N,N
809,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,D,Fruit Pie,Staff 1,FPD,Y,N
1274,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,E,Fruit Pie,Staff 3,FPE,Y,N
2978,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,F,Fruit Pie,Staff 3,FPF,N,N
810,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,G,Candy Canes,Staff 2,CnG,Y,Y
704,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,H,Candy Canes,Staff 2,CnH,Y,N
937,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,I,Candy Canes,Staff 2,CnI,N,N
2979,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,J,Fruit Pie,Staff 3,FPJ,Y,N
938,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,K,Fruit Pie,Staff 3,FPK,Y,Y
1275,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,L,Fruit Pie,Staff 1,FPL,Y,Y
1276,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,M,Candy Canes,Staff 2,CnM,Y,N
2980,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,N,Fruit Pie,Staff 4,FPN,Y,N
939,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,O,Fruit Pie,Staff 3,FPO,Y,Y
2981,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,P,Fruit Pie,Staff 4,FPP,N,N
657,2025-05-24 - 2025-05-30,5/24/2025,5/30/2025,Q,Fruit Pie,Staff 4,FPQ,N,N
