,WeekPeriod,StartOfWeek,EndOfWeek,List_of_Sites_SHS_Portfolio,Facility_Type,PA,Facility_CD,Report_Status,Late_Submission_FLG
822,2025-04-05 - 2025-04-11,2025-04-05,2025-04-11,EAST HARLEM SAFE HAVEN,Safe Haven,Brenita,MS04,N,N
823,2025-04-05 - 2025-04-11,2025-04-05,2025-04-11,MARMION AVENUE SAFE HAVEN,Safe Haven,Ernest,X179,N,N
824,2025-04-05 - 2025-04-11,2025-04-05,2025-04-11,PARKSIDE STABILIZATION,Stabilization,Maggie,BS04,Y,N
825,2025-04-05 - 2025-04-11,2025-04-05,2025-04-11,PAUL'S PLACE SAFE HAVEN,Safe Haven,Cindy,M021,Y,N
826,2025-04-05 - 2025-04-11,2025-04-05,2025-04-11,STEBBINS STABILIZATION,Stabilization,Brenita,XS02,N,N
827,2025-04-05 - 2025-04-11,2025-04-05,2025-04-11,THE ANDREWS SAFE HAVEN,Safe Haven,Mohammed,H074,Y,Y
828,2025-04-05 - 2025-04-11,2025-04-05,2025-04-11,TRAVELER'S SAFE HAVEN,Safe Haven,Brenita,M014,N,N
829,2025-04-05 - 2025-04-11,2025-04-05,2025-04-11,UNION HALL SAFE HAVEN,Safe Haven,Cindy,QSH4,Y,N
830,2025-04-05 - 2025-04-11,2025-04-05,2025-04-11,WESTCHESTER AVENUE SAFE HAVEN,Safe Haven,Brenita,X730,Y,N
831,2025-04-12 - 2025-04-18,2025-04-12,2025-04-18,105 STREET SAFE HAVEN,Safe Haven,Brenita,M011,N,N
832,2025-04-12 - 2025-04-18,2025-04-12,2025-04-18,127TH STREET KELLY SAFE HAVEN,Safe Haven,Brenita,M018,Y,N
833,2025-04-12 - 2025-04-18,2025-04-12,2025-04-18,9TH AVENUE DROP-IN CENTER,Drop-in Center,Cindy,DI10,Y,N
834,2025-04-12 - 2025-04-18,2025-04-12,2025-04-18,BRC BOWERY SAFE HAVEN,Safe Haven,Mohammed,M034,Y,N
835,2025-04-12 - 2025-04-18,2025-04-12,2025-04-18,BREAKING GROUND WILLIAMSBURG,Safe Haven,Mohammed,B019,Y,N
836,2025-04-12 - 2025-04-18,2025-04-12,2025-04-18,CARE FOUND HERE MORRIS AVENUE,Safe Haven,Ernest,XS07,Y,Y
837,2025-04-12 - 2025-04-18,2025-04-12,2025-04-18,CROMWELL AVENUE SAFE HAVEN,Safe Haven,Brenita,V014,N,N
838,2025-04-12 - 2025-04-18,2025-04-12,2025-04-18,HEGEMAN SAFE HAVEN,Safe Haven,Brenita,B014,Y,N
839,2025-04-12 - 2025-04-18,2025-04-12,2025-04-18,INFINITI STABILIZATION,Stabilization,Maggie,BH13,Y,N
840,2025-04-12 - 2025-04-18,2025-04-12,2025-04-18,PAUL'S PLACE DROP IN,Drop-in Center,Cindy,DI08,Y,N
841,2025-04-12 - 2025-04-18,2025-04-12,2025-04-18,VANDERBILT (YMCA) STABILIZATION,Stabilization,Maggie,XS01,Y,N
842,2025-04-19 - 2025-04-25,2025-04-19,2025-04-25,105 STREET SAFE HAVEN,Safe Haven,Brenita,M011,Y,N
843,2025-04-19 - 2025-04-25,2025-04-19,2025-04-25,BRC BOWERY SAFE HAVEN,Safe Haven,Mohammed,M034,Y,N
844,2025-04-19 - 2025-04-25,2025-04-19,2025-04-25,BREAKING GROUND SEAFARERS,Safe Haven,Mohammed,M019,Y,N
845,2025-04-19 - 2025-04-25,2025-04-19,2025-04-25,BronxWorks Outreach Team,Outreach Team ,Elena,,N,N
846,2025-04-19 - 2025-04-25,2025-04-19,2025-04-25,CARE FOUND HERE MORRIS AVENUE,Safe Haven,Ernest,XS07,Y,N
847,2025-04-19 - 2025-04-25,2025-04-19,2025-04-25,MAINCHANCE/GCN DROP-IN CENTER,Drop-in Center,Mohammed,DI02,N,N
848,2025-04-19 - 2025-04-25,2025-04-19,2025-04-25,PROSPECT STABILIZATION BEDS PROGRAM,Stabilization,Maggie,XS05,Y,N
849,2025-04-19 - 2025-04-25,2025-04-19,2025-04-25,PYRAMID SAFE HAVEN,Safe Haven,Brenita,X015,N,N
850,2025-04-19 - 2025-04-25,2025-04-19,2025-04-25,WESTCHESTER AVENUE SAFE HAVEN,Safe Haven,Brenita,X730,Y,N
851,2025-04-26 - 2025-05-02,2025-04-26,2025-05-02,105 STREET SAFE HAVEN,Safe Haven,Brenita,M011,Y,N
852,2025-04-26 - 2025-05-02,2025-04-26,2025-05-02,BRC BOWERY SAFE HAVEN,Safe Haven,Mohammed,M034,Y,Y
853,2025-04-26 - 2025-05-02,2025-04-26,2025-05-02,BREAKING GROUND SEAFARERS,Safe Haven,Mohammed,M019,Y,N
854,2025-04-26 - 2025-05-02,2025-04-26,2025-05-02,CARE FOUND HERE MORRIS AVENUE,Safe Haven,Ernest,XS07,Y,N
855,2025-04-26 - 2025-05-02,2025-04-26,2025-05-02,MARMION AVENUE SAFE HAVEN,Safe Haven,Ernest,X179,N,N
856,2025-04-26 - 2025-05-02,2025-04-26,2025-05-02,UNION HALL DROP IN,Drop-in Center,Cindy,DI09,Y,N
857,2025-04-26 - 2025-05-02,2025-04-26,2025-05-02,WESTCHESTER AVENUE SAFE HAVEN,Safe Haven,Brenita,X730,Y,N
858,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,OLD BROADWAY SAFE HAVEN,Safe Haven,Ernest,M022,Y,N
859,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,OLIVIERI DROP IN CENTER,Drop-in Center,Cindy,DI04,Y,N
860,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,TOV STABILIZATION BEDS PROGRAM,Stabilization,Maggie,XS04,N,N
861,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,BREAKING GROUND SEAFARERS,Safe Haven,Mohammed,M019,Y,N
862,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,CARPENTER HOUSE SAFE HAVEN,Safe Haven,Mohammed,S014,N,N
863,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,EAST FLATBUSH SAFE HAVEN,Safe Haven,Brenita,B016,Y,Y
864,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,PARKSIDE STABILIZATION,Stabilization,Maggie,BS04,Y,N
865,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,PYRAMID SAFE HAVEN,Safe Haven,Brenita,X015,N,N
866,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,THE GATHERING PLACE,Drop-in Center,Cindy,DI05,Y,N
867,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,UNION HALL DROP IN,Drop-in Center,Cindy,DI09,Y,Y
868,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,WESTCHESTER AVENUE SAFE HAVEN,Safe Haven,Brenita,X730,Y,N
869,2025-06-21 - 2025-06-27,2025-06-21,2025-06-27,BRC RECEPTION,Safe Haven,Mohammed,M0B1,N,N
870,2025-06-21 - 2025-06-27,2025-06-21,2025-06-27,Breaking Ground Queens Outreach Team,Outreach Team ,Elena,,Y,N
871,2025-06-21 - 2025-06-27,2025-06-21,2025-06-27,EASTSIDE STABILIZATION,Stabilization,Maggie,MSH1,N,N
872,2025-06-21 - 2025-06-27,2025-06-21,2025-06-27,OLIVIERI DROP IN CENTER,Drop-in Center,Cindy,DI04,Y,N
873,2025-06-21 - 2025-06-27,2025-06-21,2025-06-27,UNION HALL SAFE HAVEN,Safe Haven,Cindy,QSH4,Y,N
874,2025-06-21 - 2025-06-27,2025-06-21,2025-06-27,VUE HOTEL STABILIZATION,Stabilization,Maggie,MV01,Y,N
875,2025-06-21 - 2025-06-27,2025-06-21,2025-06-27,WEBSTER SAFE HAVEN,Safe Haven,Ernest,XS03,Y,Y
876,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,BRC RECEPTION,Safe Haven,Mohammed,M0B1,Y,N
877,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,Breaking Ground Queens Outreach Team,Outreach Team ,Elena,,N,N
878,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,EASTSIDE STABILIZATION,Stabilization,Maggie,MSH1,Y,N
879,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,INFINITI STABILIZATION,Stabilization,Maggie,BH13,Y,N
880,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,LONG ACRE STABILIZATION - CUCS,Stabilization,Ernest,M096,N,N
881,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,LONG ACRE STABILIZATION -URBAN PATHWAY,Stabilization,Cindy,M095,Y,N
882,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,PYRAMID SAFE HAVEN,Safe Haven,Brenita,X015,N,N
883,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,VUE HOTEL STABILIZATION,Stabilization,Maggie,MV01,Y,N
884,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,WASHINGTON STREET SAFE HAVEN,Safe Haven,Ernest,M035,Y,N
885,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,WEBSTER SAFE HAVEN,Safe Haven,Ernest,XS03,Y,N
886,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,COMUNILIFE E. 146 STREET SAFE HAVEN I,Safe Haven,Ernest,X018,N,N
887,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,CONTINENTAL SAFE HAVEN,Safe Haven,Mohammed,B021,Y,N
888,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,EAST HARLEM SAFE HAVEN,Safe Haven,Brenita,MS04,N,N
889,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,PARK OVERLOOK STABILIZATION,Stabilization,Maggie,XS08,N,N
890,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,PAUL'S PLACE SAFE HAVEN,Safe Haven,Cindy,M021,N,N
891,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,PROJECT HOSPITALITY DROP-IN,Drop-in Center,Cindy,DI03,Y,N
892,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,Project Hospitality Outreach Team,Outreach Team ,Elena,,Y,Y
893,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,THE HOLLY STABILIZATION,Stabilization,Maggie,MS03,Y,N
894,2025-07-12 - 2025-07-18,2025-07-12,2025-07-18,BRC RECEPTION,Safe Haven,Mohammed,M0B1,Y,N
895,2025-07-12 - 2025-07-18,2025-07-12,2025-07-18,Breaking Ground Queens Outreach Team,Outreach Team ,Elena,,Y,N
896,2025-05-03 - 2025-05-09,2025-05-03,2025-05-09,EAST FLATBUSH SAFE HAVEN,Safe Haven,Brenita,B016,Y,N
897,2025-05-03 - 2025-05-09,2025-05-03,2025-05-09,MOC Outreach Team,Outreach Team ,Elena,,Y,N
898,2025-05-03 - 2025-05-09,2025-05-03,2025-05-09,TOV STABILIZATION BEDS PROGRAM,Stabilization,Maggie,XS04,Y,N
899,2025-05-03 - 2025-05-09,2025-05-03,2025-05-09,VUE HOTEL STABILIZATION,Stabilization,Maggie,MV01,N,N
900,2025-05-03 - 2025-05-09,2025-05-03,2025-05-09,WEBSTER SAFE HAVEN,Safe Haven,Ernest,XS03,Y,N
901,2025-05-10 - 2025-05-16,2025-05-10,2025-05-16,BG AT 83RD STREET,Safe Haven,Brenita,MS01,Y,N
902,2025-05-10 - 2025-05-16,2025-05-10,2025-05-16,Breaking Ground Queens Outreach Team,Outreach Team ,Elena,,Y,N
903,2025-05-10 - 2025-05-16,2025-05-10,2025-05-16,CARE FOUND HERE MORRIS AVENUE,Safe Haven,Ernest,XS07,Y,N
904,2025-05-10 - 2025-05-16,2025-05-10,2025-05-16,MARMION AVENUE SAFE HAVEN,Safe Haven,Ernest,X179,N,N
905,2025-05-10 - 2025-05-16,2025-05-10,2025-05-16,UNION HALL DROP IN,Drop-in Center,Cindy,DI09,Y,N
906,2025-05-17 - 2025-05-23,2025-05-17,2025-05-23,Breaking Ground Brooklyn Outreach Team,Outreach Team ,Elena,,Y,Y
907,2025-05-17 - 2025-05-23,2025-05-17,2025-05-23,CONTINENTAL SAFE HAVEN,Safe Haven,Mohammed,B021,Y,N
908,2025-05-17 - 2025-05-23,2025-05-17,2025-05-23,LIVING ROOM DROP-IN CENTER,Drop-in Center,Cindy,DI01,N,N
909,2025-05-17 - 2025-05-23,2025-05-17,2025-05-23,MIDWOOD SAFE HAVEN,Safe Haven,Mohammed,B015,Y,N
910,2025-05-17 - 2025-05-23,2025-05-17,2025-05-23,PROJECT HOSPITALITY DROP-IN,Drop-in Center,Cindy,DI03,N,N
911,2025-05-17 - 2025-05-23,2025-05-17,2025-05-23,Project Hospitality Outreach Team,Outreach Team ,Elena,,Y,N
912,2025-05-17 - 2025-05-23,2025-05-17,2025-05-23,QUEENS DROP IN CENTER,Drop-in Center,Cindy,DI06,Y,Y
913,2025-05-17 - 2025-05-23,2025-05-17,2025-05-23,THE HOLLY STABILIZATION,Stabilization,Maggie,MS03,N,N
914,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,9TH AVENUE DROP-IN CENTER,Drop-in Center,Cindy,DI10,N,N
915,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,CROMWELL AVENUE SAFE HAVEN,Safe Haven,Brenita,V014,N,N
916,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,EAST HARLEM SAFE HAVEN,Safe Haven,Brenita,MS04,N,N
917,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,PARK OVERLOOK STABILIZATION,Stabilization,Maggie,XS08,Y,Y
918,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,PAUL'S PLACE DROP IN,Drop-in Center,Cindy,DI08,N,N
919,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,PAUL'S PLACE SAFE HAVEN,Safe Haven,Cindy,M021,Y,N
920,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,THE ANDREWS SAFE HAVEN,Safe Haven,Mohammed,H074,Y,N
921,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,WESTCHESTER AVENUE SAFE HAVEN,Safe Haven,Brenita,X730,N,N
922,2025-05-31 - 2025-06-06,2025-05-31,2025-06-06,LIVING ROOM DROP-IN CENTER,Drop-in Center,Cindy,DI01,Y,Y
923,2025-05-31 - 2025-06-06,2025-05-31,2025-06-06,MOC Outreach Team,Outreach Team ,Elena,,Y,N
924,2025-05-31 - 2025-06-06,2025-05-31,2025-06-06,PROJECT HOSPITALITY DROP-IN,Drop-in Center,Cindy,DI03,Y,Y
925,2025-05-31 - 2025-06-06,2025-05-31,2025-06-06,Project Hospitality Outreach Team,Outreach Team ,Elena,,Y,Y
926,2025-05-31 - 2025-06-06,2025-05-31,2025-06-06,THE HOLLY STABILIZATION,Stabilization,Maggie,MS03,N,N
927,2025-05-31 - 2025-06-06,2025-05-31,2025-06-06,TOV STABILIZATION BEDS PROGRAM,Stabilization,Maggie,XS04,Y,Y
928,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,BG AT 83RD STREET,Safe Haven,Brenita,MS01,Y,N
929,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,COMUNILIFE E. 146 STREET SAFE HAVEN I,Safe Haven,Ernest,X018,N,N
930,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,EAST HARLEM SAFE HAVEN,Safe Haven,Brenita,MS04,N,N
931,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,MARMION AVENUE SAFE HAVEN,Safe Haven,Ernest,X179,Y,N
932,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,PAUL'S PLACE SAFE HAVEN,Safe Haven,Cindy,M021,N,N
933,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,STEBBINS STABILIZATION,Stabilization,Brenita,XS02,Y,N
934,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,THE ANDREWS SAFE HAVEN,Safe Haven,Mohammed,H074,Y,N
935,2025-05-17 - 2025-05-23,2025-05-17,2025-05-23,VANDERBILT (YMCA) STABILIZATION,Stabilization,Maggie,XS01,Y,N
936,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,127TH STREET KELLY SAFE HAVEN,Safe Haven,Brenita,M018,Y,N
937,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,Breaking Ground Queens Outreach Team,Outreach Team ,Elena,,N,N
938,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,BREAKING GROUND WILLIAMSBURG,Safe Haven,Mohammed,B019,Y,Y
939,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,CARPENTER HOUSE SAFE HAVEN,Safe Haven,Mohammed,S014,Y,Y
940,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,EASTSIDE STABILIZATION,Stabilization,Maggie,MSH1,N,N
941,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,INFINITI STABILIZATION,Stabilization,Maggie,BH13,Y,N
942,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,LONG ACRE STABILIZATION - CUCS,Stabilization,Ernest,M096,Y,Y
943,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,MAINCHANCE/GCN DROP-IN CENTER,Drop-in Center,Mohammed,DI02,Y,N
944,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,PROSPECT STABILIZATION BEDS PROGRAM,Stabilization,Maggie,XS05,Y,Y
945,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,STEBBINS STABILIZATION,Stabilization,Brenita,XS02,N,N
946,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,TRAVELER'S SAFE HAVEN,Safe Haven,Brenita,M014,N,N
947,2025-05-24 - 2025-05-30,2025-05-24,2025-05-30,VANDERBILT (YMCA) STABILIZATION,Stabilization,Maggie,XS01,Y,N
948,2025-05-31 - 2025-06-06,2025-05-31,2025-06-06,MIDWOOD SAFE HAVEN,Safe Haven,Mohammed,B015,Y,Y
949,2025-05-31 - 2025-06-06,2025-05-31,2025-06-06,THE ANDREWS SAFE HAVEN,Safe Haven,Mohammed,H074,Y,Y
950,2025-05-31 - 2025-06-06,2025-05-31,2025-06-06,UNION HALL DROP IN,Drop-in Center,Cindy,DI09,Y,N
951,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,127TH STREET KELLY SAFE HAVEN,Safe Haven,Brenita,M018,N,N
952,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,Breaking Ground Brooklyn Outreach Team,Outreach Team ,Elena,,Y,N
953,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,CARPENTER HOUSE SAFE HAVEN,Safe Haven,Mohammed,S014,Y,N
954,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,CROMWELL AVENUE SAFE HAVEN,Safe Haven,Brenita,V014,Y,N
955,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,LIVING ROOM DROP-IN CENTER,Drop-in Center,Cindy,DI01,N,N
956,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,LONG ACRE STABILIZATION -URBAN PATHWAY,Stabilization,Cindy,M095,Y,N
957,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,PARKSIDE STABILIZATION,Stabilization,Maggie,BS04,Y,N
958,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,PYRAMID SAFE HAVEN,Safe Haven,Brenita,X015,N,N
959,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,THE GATHERING PLACE,Drop-in Center,Cindy,DI05,N,N
960,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,VUE HOTEL STABILIZATION,Stabilization,Maggie,MV01,Y,N
961,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,WASHINGTON STREET SAFE HAVEN,Safe Haven,Ernest,M035,Y,N
962,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,WESTCHESTER AVENUE SAFE HAVEN,Safe Haven,Brenita,X730,Y,N
963,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,BRC BOWERY SAFE HAVEN,Safe Haven,Mohammed,M034,Y,N
964,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,CARE FOUND HERE MORRIS AVENUE,Safe Haven,Ernest,XS07,Y,N
965,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,COMUNILIFE E. 146 STREET SAFE HAVEN I,Safe Haven,Ernest,X018,N,N
966,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,THE HOLLY STABILIZATION,Stabilization,Maggie,MS03,Y,N
967,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,UNION HALL SAFE HAVEN,Safe Haven,Cindy,QSH4,N,N
968,2025-06-21 - 2025-06-27,2025-06-21,2025-06-27,9TH AVENUE DROP-IN CENTER,Drop-in Center,Cindy,DI10,N,N
969,2025-06-21 - 2025-06-27,2025-06-21,2025-06-27,LIVING ROOM DROP-IN CENTER,Drop-in Center,Cindy,DI01,Y,Y
970,2025-06-21 - 2025-06-27,2025-06-21,2025-06-27,MARMION AVENUE SAFE HAVEN,Safe Haven,Ernest,X179,Y,N
971,2025-06-21 - 2025-06-27,2025-06-21,2025-06-27,MIDWOOD SAFE HAVEN,Safe Haven,Mohammed,B015,Y,N
972,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,9TH AVENUE DROP-IN CENTER,Drop-in Center,Cindy,DI10,N,N
973,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,Breaking Ground Queens Outreach Team,Outreach Team ,Elena,,Y,N
974,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,BREAKING GROUND WILLIAMSBURG,Safe Haven,Mohammed,B019,Y,N
975,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,CARE FOUND HERE MORRIS AVENUE,Safe Haven,Ernest,XS07,Y,N
976,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,THE BAXTER SAFE HAVEN,Safe Haven,Mohammed,QSH3,N,N
977,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,VANDERBILT (YMCA) STABILIZATION,Stabilization,Maggie,XS01,Y,N
978,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,BG AT 83RD STREET,Safe Haven,Brenita,MS01,Y,N
979,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,Breaking Ground Brooklyn Outreach Team,Outreach Team ,Elena,,Y,N
980,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,PARK OVERLOOK STABILIZATION,Stabilization,Maggie,XS08,N,N
981,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,STEBBINS STABILIZATION,Stabilization,Brenita,XS02,N,N
982,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,THE BAXTER SAFE HAVEN,Safe Haven,Mohammed,QSH3,N,N
983,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,TRAVELER'S SAFE HAVEN,Safe Haven,Brenita,M014,N,N
984,2025-06-21 - 2025-06-27,2025-06-21,2025-06-27,LONG ACRE STABILIZATION -URBAN PATHWAY,Stabilization,Cindy,M095,Y,N
985,2025-06-21 - 2025-06-27,2025-06-21,2025-06-27,TOV STABILIZATION BEDS PROGRAM,Stabilization,Maggie,XS04,Y,N
986,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,127TH STREET KELLY SAFE HAVEN,Safe Haven,Brenita,M018,Y,N
987,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,9TH AVENUE DROP-IN CENTER,Drop-in Center,Cindy,DI10,N,N
988,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,BREAKING GROUND WILLIAMSBURG,Safe Haven,Mohammed,B019,Y,Y
989,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,COMUNILIFE E. 146 STREET SAFE HAVEN I,Safe Haven,Ernest,X018,Y,N
990,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,EAST HARLEM SAFE HAVEN,Safe Haven,Brenita,MS04,N,N
991,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,HEGEMAN SAFE HAVEN,Safe Haven,Brenita,B014,Y,N
992,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,PARK OVERLOOK STABILIZATION,Stabilization,Maggie,XS08,N,N
993,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,PAUL'S PLACE SAFE HAVEN,Safe Haven,Cindy,M021,N,N
994,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,STEBBINS STABILIZATION,Stabilization,Brenita,XS02,N,N
995,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,THE BAXTER SAFE HAVEN,Safe Haven,Mohammed,QSH3,N,N
996,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,TRAVELER'S SAFE HAVEN,Safe Haven,Brenita,M014,N,N
997,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,UNION HALL SAFE HAVEN,Safe Haven,Cindy,QSH4,N,N
998,2025-06-28 - 2025-07-04,2025-06-28,2025-07-04,VANDERBILT (YMCA) STABILIZATION,Stabilization,Maggie,XS01,Y,N
999,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,BG AT 83RD STREET,Safe Haven,Brenita,MS01,N,N
1000,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,CARPENTER HOUSE SAFE HAVEN,Safe Haven,Mohammed,S014,N,N
1001,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,EAST FLATBUSH SAFE HAVEN,Safe Haven,Brenita,B016,Y,N
1002,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,EASTSIDE STABILIZATION,Stabilization,Maggie,MSH1,Y,N
1003,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,STEBBINS STABILIZATION,Stabilization,Brenita,XS02,N,N
1004,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,TRAVELER'S SAFE HAVEN,Safe Haven,Brenita,M014,Y,N
1005,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,UNION HALL DROP IN,Drop-in Center,Cindy,DI09,Y,N
1006,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,UNION HALL SAFE HAVEN,Safe Haven,Cindy,QSH4,N,N
1007,2025-07-05 - 2025-07-11,2025-07-05,2025-07-11,VUE HOTEL STABILIZATION,Stabilization,Maggie,MV01,Y,N
1008,2025-07-12 - 2025-07-18,2025-07-12,2025-07-18,LIVING ROOM DROP-IN CENTER,Drop-in Center,Cindy,DI01,N,N
1009,2025-07-12 - 2025-07-18,2025-07-12,2025-07-18,MIDWOOD SAFE HAVEN,Safe Haven,Mohammed,B015,Y,N
1010,2025-07-12 - 2025-07-18,2025-07-12,2025-07-18,QUEENS DROP IN CENTER,Drop-in Center,Cindy,DI06,N,N
1011,2025-07-12 - 2025-07-18,2025-07-12,2025-07-18,WEBSTER SAFE HAVEN,Safe Haven,Ernest,XS03,Y,Y
1012,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,BRONXWORKS SAFE HAVEN - LIVING ROOM,Safe Haven,Brenita,X014,N,N
1013,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,BronxWorks Outreach Team,Outreach Team ,Elena,,N,N
1014,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,COMUNILIFE SAFE HAVEN II (MONROE AVENUE),Safe Haven,Ernest,X016,Y,Y
1015,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,PROJECT HOSPITALITY DROP-IN,Drop-in Center,Cindy,DI03,N,N
1016,2025-06-07 - 2025-06-13,2025-06-07,2025-06-13,WEBSTER SAFE HAVEN,Safe Haven,Ernest,XS03,Y,N
1017,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,CONTINENTAL SAFE HAVEN,Safe Haven,Mohammed,B021,Y,N
1018,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,INFINITI STABILIZATION,Stabilization,Maggie,BH13,Y,N
1019,2025-06-14 - 2025-06-20,2025-06-14,2025-06-20,LONG ACRE STABILIZATION - CUCS,Stabilization,Ernest,M096,N,N
